ticker,date,score,is_valid
GDC,2026-05-08,90,True
RXT,2026-05-08,90,True
STFS,2026-05-08,78,True
WEST,2026-05-08,88,True
AEHL,2026-05-11,100,True
BZH,2026-05-11,88,True
EZGO,2026-05-11,65,False
POM,2026-05-11,80,True
TRAW,2026-05-11,88,True
HTCO,2026-05-12,98,True
WOK,2026-05-12,88,True
AEHL,2026-05-13,75,True
TDIC,2026-05-13,88,True
AEHL,2026-05-14,88,True
AIIO,2026-05-14,88,True
ALP,2026-05-14,90,True
LESL,2026-05-14,90,True
LNKS,2026-05-14,98,True
MOBX,2026-05-14,88,True
SNAL,2026-05-14,88,True
AUUD,2026-05-15,90,True
QUCY,2026-05-15,88,True
CISS,2026-05-18,88,True
GOVX,2026-05-18,88,True
HCAI,2026-05-18,88,True
HIVE,2026-05-18,90,True
SBFM,2026-05-18,88,True
VRAX,2026-05-18,75,True
CODX,2026-05-19,100,True
HUBC,2026-05-19,73,True
VRAX,2026-05-19,90,True
WNW,2026-05-19,98,True
MTVA,2026-05-20,90,True
MWC,2026-05-20,88,True
SLXN,2026-05-20,90,True
WNW,2026-05-20,88,True
CODX,2026-05-21,65,False
SBFM,2026-05-21,90,True
AKTX,2026-05-22,88,True
HYLN,2026-05-22,90,True
LFS,2026-05-22,90,True
MEHA,2026-05-22,90,True
PCLA,2026-05-22,90,True
QTEX,2026-05-22,98,True
RYOJ,2026-05-22,78,True
BIYA,2026-05-26,88,True
CPSH,2026-05-26,88,True
MNTS,2026-05-26,90,True
NCRA,2026-05-26,100,True
OTLK,2026-05-26,90,True
QTEX,2026-05-26,65,False
ASTC,2026-05-27,78,True
FGL,2026-05-27,88,True
VCIG,2026-05-27,90,True
GNS,2026-05-28,90,True
IOTR,2026-05-28,88,True
DEVS,2026-05-29,90,True
OLOX,2026-05-29,88,True
STG,2026-05-29,88,True
ANY,2026-06-01,90,True
HUBC,2026-06-01,100,True
NAMM,2026-06-01,88,True
HUBC,2026-06-02,90,True
PMI,2026-06-02,100,True
VSA,2026-06-02,88,True
FOFO,2026-06-03,88,True
HTCO,2026-06-03,63,False
KUST,2026-06-03,88,True
LASE,2026-06-03,90,True
MSAI,2026-06-03,88,True
PMI,2026-06-03,90,True
SDOT,2026-06-03,98,True
XOS,2026-06-03,90,True
CXAI,2026-06-04,90,True
EDHL,2026-06-04,98,True
FOXX,2026-06-04,90,True
NEXR,2026-06-04,100,True
SBEV,2026-06-04,90,True
SPRC,2026-06-04,63,False
TWAV,2026-06-04,88,True
YYGH,2026-06-04,90,True
BBCP,2026-06-05,88,True
BCDA,2026-06-05,90,True
BESS,2026-06-05,88,True
BGMS,2026-06-05,90,True
CMND,2026-06-05,63,False
RMSG,2026-06-05,90,True
SMTK,2026-06-05,100,True
SPHL,2026-06-05,78,True
STAK,2026-06-05,88,True
FRSX,2026-06-08,88,True
INHD,2026-06-08,43,False
NCRA,2026-06-08,90,True
NEXR,2026-06-08,88,True
OCC,2026-06-08,90,True
SDOT,2026-06-08,73,True
SMTK,2026-06-08,88,True
SUNE,2026-06-08,78,True
TDIC,2026-06-08,98,True
AHMA,2026-06-09,88,True
AZI,2026-06-09,78,True
BRIA,2026-06-09,63,False
CCTG,2026-06-09,78,True
CPOP,2026-06-09,78,True
EPSM,2026-06-09,88,True
GMM,2026-06-09,100,True
MTEN,2026-06-09,58,False
PAVS,2026-06-09,78,True
RGNT,2026-06-09,88,True
CIIT,2026-06-10,98,True
DSY,2026-06-10,88,True
HWH,2026-06-10,88,True
MSW,2026-06-10,88,True
VSME,2026-06-10,98,True
CCHH,2026-06-11,90,True
EDHL,2026-06-11,63,False
GLXG,2026-06-11,88,True
HKIT,2026-06-11,90,True
QH,2026-06-11,88,True
BYAH,2026-06-12,90,True
DSY,2026-06-12,78,True
VSME,2026-06-12,100,True
GMM,2026-06-12,90,True
UBXG,2026-06-12,78,True
CUPR,2026-06-12,38,False
CAST,2026-06-15,75,True
JRSH,2026-06-15,88,True
VSME,2026-06-15,65,False
GELS,2026-06-15,90,True
NIXX,2026-06-15,78,True
DXST,2026-06-15,88,True
GLXG,2026-06-15,88,True
KXIN,2026-06-15,88,True
CUPR,2026-06-15,88,True
SUGP,2026-06-16,53,False
TDIC,2026-06-16,88,True
CRE,2026-06-16,88,True
GDHG,2026-06-16,88,True
UPC,2026-06-16,88,True
NXTS,2026-06-16,98,True
OBAI,2026-06-16,68,False
EHGO,2026-06-17,90,True
ICCM,2026-06-17,63,False
CLWT,2026-06-17,63,False
LNAI,2026-06-17,100,True
SDOT,2026-06-17,98,True
CRE,2026-06-17,98,True
UTSI,2026-06-17,98,True
NIVF,2026-06-17,100,True
CAST,2026-06-18,73,True
CDT,2026-06-18,38,False
WKSP,2026-06-18,88,True
LNKS,2026-06-18,75,True
APWC,2026-06-18,100,True
EHGO,2026-06-22,98,True
SAGT,2026-06-22,100,True
CDT,2026-06-22,100,True
CRMT,2026-06-22,88,True
NXTS,2026-06-22,63,False
CIIT,2026-06-23,100,True
BOLD,2026-06-23,100,True
