Date,Symbol,Company Name,Type,Split Ratio
2026-03-16,ZJYL,Jin Medical International Ltd.,Reverse,1 for 20
2026-03-16,XLO,Xilio Therapeutics Inc,Reverse,1 for 14
2026-03-16,NIVF,Newgenivf Group Ltd.,Reverse,1 for 4
2026-03-16,HBIO,Harvard Bioscience Inc,Reverse,1 for 10
2026-03-16,CLIR,Clearsign Technologies Corp,Reverse,1 for 10
2026-03-16,MASK,3 E Network Technology Group Ltd.,Reverse,1 for 25
2026-03-16,DXST,Decent Holding Inc,Reverse,1 for 25
2026-03-20,CIIT,Tianci International Inc,Reverse,1 for 7
2026-03-20,ORGN,Origin Materials Inc,Reverse,1 for 30
2026-03-23,AREB,American Rebel Holdings Inc,Reverse,1 for 100
2026-03-23,AZI,Autozi Internet Technology (global) Ltd.,Reverse,1 for 10
2026-03-23,CLMB,Climb Global Solutions Inc,Forward,4 for 1
2026-03-23,EUDA,Euda Health Holdings Ltd.,Reverse,1 for 20
2026-03-23,JDZG,Jiade Ltd.,Reverse,1 for 25
2026-03-23,SNEX,Stonex Group Inc,Forward,1.5 for 1
2026-03-23,YYGH,Yy Group Holding Ltd.,Reverse,1 for 50
2026-03-23,FCHL,Fitness Champs Holdings Ltd.,Reverse,1 for 15
2026-03-25,JFB,Jfb Construction Holdings,Forward,2 for 1
2026-03-25,ONCO,Onconetix Inc,Reverse,1 for 5
2026-03-25,XTLB,Xtl Biopharmaceuticals Ltd.,Reverse,1 for 4
2026-03-26,RENX,Renx Enterprises Corp,Reverse,1 for 20
2026-03-27,TRUG,Trugolf Holdings Inc,Reverse,1 for 10
2026-03-27,LBGJ,Li Bang International Corp Inc,Reverse,1 for 100
2026-03-27,CDT,Cdt Equity Inc,Reverse,1 for 25
2026-03-27,IVF,Invo Fertility Inc,Reverse,1 for 5
2026-03-27,ADV,Advantage Solutions Inc,Reverse,1 for 25
2026-03-30,ATXG,Addentax Group Corp,Reverse,1 for 15
2026-03-30,EJH,E-home Household Service Holdings Ltd.,Reverse,1 for 25
2026-03-30,FBLG,Fibrobiologics Inc,Reverse,1 for 20
2026-03-30,SVRN,Oceanpal Inc,Reverse,1 for 20
2026-03-31,AKTX,Akari Therapeutics PLC,Reverse,1 for 40
2026-03-31,MODD,Modular Medical Inc,Reverse,1 for 30
2026-03-31,PAVS,Paranovus Entertainment Technology Ltd.,Reverse,1 for 12
2026-04-01,UCAR,U Power Ltd.,Reverse,1 for 10
2026-04-01,AUUD,Auddia Inc,Reverse,1 for 7.7
2026-04-02,NCT,Intercont (cayman) Ltd.,Reverse,1 for 25
2026-04-02,PSTV,Plus Therapeutics Inc,Reverse,1 for 25
2026-04-06,XRTX,Xortx Therapeutics Inc,Reverse,1 for 5
2026-04-06,WNW,Meiwu Technology Co Ltd.,Reverse,1 for 100
2026-04-06,SKK,Skk Holdings Ltd.,Reverse,1 for 10
2026-04-06,POWL,Powell Industries Inc,Forward,3 for 1
2026-04-06,LNKS,Linkers Industries Ltd.,Reverse,1 for 250
2026-04-06,INLF,Inlif Ltd.,Reverse,1 for 16
2026-04-06,HKIT,Hitek Global Inc,Reverse,1 for 50
2026-04-06,GNLN,Greenlane Holdings Inc,Reverse,1 for 8
2026-04-06,BKNG,Booking Holdings Inc,Forward,25 for 1
2026-04-06,BDRX,Biodexa Pharmaceuticals PLC,Reverse,1 for 5
2026-04-06,BCAB,Bioatla Inc,Reverse,1 for 50
2026-04-06,AIIO,Roboai Inc,Reverse,1 for 20
2026-04-06,HTCR,Heartcore Enterprises Inc,Reverse,1 for 20
2026-04-07,CHR,Cheer Holding Inc,Reverse,1 for 3
2026-04-07,MOBX,Mobix Labs Inc,Reverse,1 for 10
2026-04-08,RDGT,Ridgetech Inc,Reverse,1 for 149.93
2026-04-08,JTAI,Jetai Inc,Reverse,1 for 200
2026-04-08,NXTS,Nexentis Technologies Inc,Reverse,1 for 7
2026-04-09,RUBI,Rubico Inc,Reverse,1 for 10
2026-04-10,WORX,Scworx Corp,Reverse,1 for 15
2026-04-13,CENN,Cenntro Inc,Reverse,1 for 59.99
2026-04-13,HCAI,Huachen Ai Parking Management Technology Holding Co Ltd.,Reverse,1 for 30
2026-04-13,JEM,707 Cayman Holdings Ltd.,Reverse,1 for 20
2026-04-13,MSAI,Multisensor Ai Holdings Inc,Reverse,1 for 40
2026-04-13,NXPL,Nextplat Corp,Reverse,1 for 10
2026-04-13,PN,Skycorp Solar Group Ltd.,Reverse,1 for 20
2026-04-13,QNCX,Quince Therapeutics Inc,Reverse,1 for 10
2026-04-13,WFF,Wf Holding Ltd.,Reverse,1 for 5
